q1,q2,q3,q4,Call Price,Put Price,Scenario
0.0,0.0,0.06,0.08,3.5369,5.1916,"q=(0.0, 0.0, 0.06, 0.08)"
0.0,0.0,0.07,0.0,3.8787,4.7896,"q=(0.0, 0.0, 0.07, 0.0)"
0.0,0.0,0.07,0.01,3.8265,4.8479,"q=(0.0, 0.0, 0.07, 0.01)"
0.0,0.0,0.07,0.02,3.775,4.9064,"q=(0.0, 0.0, 0.07, 0.02)"
0.0,0.0,0.07,0.03,3.7242,4.9651,"q=(0.0, 0.0, 0.07, 0.03)"
0.0,0.0,0.07,0.04,3.674,5.0238,"q=(0.0, 0.0, 0.07, 0.04)"
0.0,0.0,0.07,0.05,3.6244,5.0826,"q=(0.0, 0.0, 0.07, 0.05)"
0.0,0.0,0.07,0.06,3.5754,5.1415,"q=(0.0, 0.0, 0.07, 0.06)"
0.0,0.0,0.07,0.07,3.5271,5.2005,"q=(0.0, 0.0, 0.07, 0.07)"
0.0,0.0,0.07,0.08,3.4794,5.2596,"q=(0.0, 0.0, 0.07, 0.08)"
0.0,0.0,0.08,0.0,3.8184,4.8541,"q=(0.0, 0.0, 0.08, 0.0)"
0.0,0.0,0.08,0.01,3.7667,4.913,"q=(0.0, 0.0, 0.08, 0.01)"
0.0,0.0,0.08,0.02,3.7157,4.972,"q=(0.0, 0.0, 0.08, 0.02)"
0.0,0.0,0.08,0.03,3.6653,5.031,"q=(0.0, 0.0, 0.08, 0.03)"
0.0,0.0,0.08,0.04,3.6155,5.0901,"q=(0.0, 0.0, 0.08, 0.04)"
0.0,0.0,0.08,0.05,3.5663,5.1494,"q=(0.0, 0.0, 0.08, 0.05)"
0.0,0.0,0.08,0.06,3.5178,5.2087,"q=(0.0, 0.0, 0.08, 0.06)"
0.0,0.0,0.08,0.07,3.4699,5.2682,"q=(0.0, 0.0, 0.08, 0.07)"
0.0,0.0,0.08,0.08,3.4228,5.3278,"q=(0.0, 0.0, 0.08, 0.08)"
0.0,0.01,0.0,0.0,4.2663,4.4025,"q=(0.0, 0.01, 0.0, 0.0)"
0.0,0.01,0.0,0.01,4.2106,4.4574,"q=(0.0, 0.01, 0.0, 0.01)"
0.0,0.01,0.0,0.02,4.1557,4.5125,"q=(0.0, 0.01, 0.0, 0.02)"
0.0,0.01,0.0,0.03,4.1016,4.5679,"q=(0.0, 0.01, 0.0, 0.03)"
0.0,0.01,0.0,0.04,4.0482,4.6234,"q=(0.0, 0.01, 0.0, 0.04)"
0.0,0.01,0.0,0.05,3.9954,4.679,"q=(0.0, 0.01, 0.0, 0.05)"
0.0,0.01,0.0,0.06,3.9435,4.7349,"q=(0.0, 0.01, 0.0, 0.06)"
0.0,0.01,0.0,0.07,3.8923,4.7911,"q=(0.0, 0.01, 0.0, 0.07)"
0.0,0.01,0.0,0.08,3.8419,4.8475,"q=(0.0, 0.01, 0.0, 0.08)"
0.0,0.01,0.01,0.0,4.1997,4.4652,"q=(0.0, 0.01, 0.01, 0.0)"
0.0,0.01,0.01,0.01,4.1446,4.5207,"q=(0.0, 0.01, 0.01, 0.01)"
0.0,0.01,0.01,0.02,4.0903,4.5764,"q=(0.0, 0.01, 0.01, 0.02)"
0.0,0.01,0.01,0.03,4.0367,4.6323,"q=(0.0, 0.01, 0.01, 0.03)"
0.0,0.01,0.01,0.04,3.9838,4.6883,"q=(0.0, 0.01, 0.01, 0.04)"
0.0,0.01,0.01,0.05,3.9317,4.7446,"q=(0.0, 0.01, 0.01, 0.05)"
0.0,0.01,0.01,0.06,3.8804,4.8011,"q=(0.0, 0.01, 0.01, 0.06)"
0.0,0.01,0.01,0.07,3.8298,4.8579,"q=(0.0, 0.01, 0.01, 0.07)"
0.0,0.01,0.01,0.08,3.7799,4.9148,"q=(0.0, 0.01, 0.01, 0.08)"
0.0,0.01,0.02,0.0,4.1342,4.5283,"q=(0.0, 0.01, 0.02, 0.0)"
0.0,0.01,0.02,0.01,4.0797,4.5844,"q=(0.0, 0.01, 0.02, 0.01)"
0.0,0.01,0.02,0.02,4.0259,4.6406,"q=(0.0, 0.01, 0.02, 0.02)"
0.0,0.01,0.02,0.03,3.9728,4.697,"q=(0.0, 0.01, 0.02, 0.03)"
0.0,0.01,0.02,0.04,3.9206,4.7537,"q=(0.0, 0.01, 0.02, 0.04)"
0.0,0.01,0.02,0.05,3.8691,4.8106,"q=(0.0, 0.01, 0.02, 0.05)"
0.0,0.01,0.02,0.06,3.8184,4.8677,"q=(0.0, 0.01, 0.02, 0.06)"
0.0,0.01,0.02,0.07,3.7683,4.9249,"q=(0.0, 0.01, 0.02, 0.07)"
0.0,0.01,0.02,0.08,3.7188,4.9823,"q=(0.0, 0.01, 0.02, 0.08)"
0.0,0.01,0.03,0.0,4.0697,4.5918,"q=(0.0, 0.01, 0.03, 0.0)"
0.0,0.01,0.03,0.01,4.0157,4.6483,"q=(0.0, 0.01, 0.03, 0.01)"
0.0,0.01,0.03,0.02,3.9624,4.7051,"q=(0.0, 0.01, 0.03, 0.02)"
0.0,0.01,0.03,0.03,3.9101,4.7622,"q=(0.0, 0.01, 0.03, 0.03)"
0.0,0.01,0.03,0.04,3.8584,4.8195,"q=(0.0, 0.01, 0.03, 0.04)"
0.0,0.01,0.03,0.05,3.8075,4.8769,"q=(0.0, 0.01, 0.03, 0.05)"
0.0,0.01,0.03,0.06,3.7572,4.9345,"q=(0.0, 0.01, 0.03, 0.06)"
0.0,0.01,0.03,0.07,3.7076,4.9922,"q=(0.0, 0.01, 0.03, 0.07)"
0.0,0.01,0.03,0.08,3.6585,5.05,"q=(0.0, 0.01, 0.03, 0.08)"
0.0,0.01,0.04,0.0,4.0061,4.6555,"q=(0.0, 0.01, 0.04, 0.0)"
0.0,0.01,0.04,0.01,3.9526,4.7127,"q=(0.0, 0.01, 0.04, 0.01)"
0.0,0.01,0.04,0.02,3.9001,4.7701,"q=(0.0, 0.01, 0.04, 0.02)"
0.0,0.01,0.04,0.03,3.8483,4.8278,"q=(0.0, 0.01, 0.04, 0.03)"
0.0,0.01,0.04,0.04,3.7971,4.8856,"q=(0.0, 0.01, 0.04, 0.04)"
0.0,0.01,0.04,0.05,3.7467,4.9435,"q=(0.0, 0.01, 0.04, 0.05)"
0.0,0.01,0.04,0.06,3.6969,5.0016,"q=(0.0, 0.01, 0.04, 0.06)"
0.0,0.01,0.04,0.07,3.6476,5.0596,"q=(0.0, 0.01, 0.04, 0.07)"
0.0,0.01,0.04,0.08,3.599,5.1178,"q=(0.0, 0.01, 0.04, 0.08)"
0.0,0.01,0.05,0.0,3.9435,4.7197,"q=(0.0, 0.01, 0.05, 0.0)"
0.0,0.01,0.05,0.01,3.8907,4.7775,"q=(0.0, 0.01, 0.05, 0.01)"
0.0,0.01,0.05,0.02,3.8387,4.8355,"q=(0.0, 0.01, 0.05, 0.02)"
0.0,0.01,0.05,0.03,3.7874,4.8936,"q=(0.0, 0.01, 0.05, 0.03)"
0.0,0.01,0.05,0.04,3.7367,4.9519,"q=(0.0, 0.01, 0.05, 0.04)"
0.0,0.01,0.05,0.05,3.6867,5.0103,"q=(0.0, 0.01, 0.05, 0.05)"
0.0,0.01,0.05,0.06,3.6373,5.0687,"q=(0.0, 0.01, 0.05, 0.06)"
0.0,0.01,0.05,0.07,3.5884,5.1272,"q=(0.0, 0.01, 0.05, 0.07)"
0.0,0.01,0.05,0.08,3.5403,5.1858,"q=(0.0, 0.01, 0.05, 0.08)"
0.0,0.01,0.06,0.0,3.882,4.7843,"q=(0.0, 0.01, 0.06, 0.0)"
0.0,0.01,0.06,0.01,3.8297,4.8426,"q=(0.0, 0.01, 0.06, 0.01)"
0.0,0.01,0.06,0.02,3.7782,4.9011,"q=(0.0, 0.01, 0.06, 0.02)"
0.0,0.01,0.06,0.03,3.7274,4.9597,"q=(0.0, 0.01, 0.06, 0.03)"
0.0,0.01,0.06,0.04,3.6772,5.0184,"q=(0.0, 0.01, 0.06, 0.04)"
0.0,0.01,0.06,0.05,3.6275,5.0772,"q=(0.0, 0.01, 0.06, 0.05)"
0.0,0.01,0.06,0.06,3.5785,5.136,"q=(0.0, 0.01, 0.06, 0.06)"
0.0,0.01,0.06,0.07,3.5301,5.195,"q=(0.0, 0.01, 0.06, 0.07)"
0.0,0.01,0.06,0.08,3.4825,5.2541,"q=(0.0, 0.01, 0.06, 0.08)"
0.0,0.01,0.07,0.0,3.8213,4.8491,"q=(0.0, 0.01, 0.07, 0.0)"
0.0,0.01,0.07,0.01,3.7696,4.9079,"q=(0.0, 0.01, 0.07, 0.01)"
0.0,0.01,0.07,0.02,3.7186,4.9669,"q=(0.0, 0.01, 0.07, 0.02)"
